country,iso3,region,income_group,depression_pct,anxiety_pct,suicide_rate_per100k,psychiatrists_per100k,mh_budget_pct_health,mh_spend_usd_per_capita,treatment_gap_pct,social_media_hours_daily,internet_penetration_pct,gdp_per_capita_usd,population_millions,covid_mh_increase_pct,youth_mh_crisis_score,mh_policy_exists,mh_law_exists,mh_crisis_index,total_affected_millions,psychiatrists_per_million,mh_investment_gap,social_media_mental_health_risk,depression_anxiety_comorbidity_est_pct,mh_system_score,income_group_code,data_year,data_source
Malawi,MWI,Africa,Low,3.3,4.5,6.5,0.02,0.8,0.1,97,1.1,16,700,20.4,86,9.5,No,No,87,1.59,0.2,0.078,Low (<1.5h),1.65,3.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Ghana,GHA,Africa,Lower-Middle,3.7,5.1,7.4,0.1,1.2,0.2,91,2.8,62,2400,33.5,72,9.0,Yes,Yes,76,2.95,1.0,0.109,High (2.5-3.5h),1.85,6.6,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Kenya,KEN,Africa,Lower-Middle,3.8,5.0,8.9,0.2,1.1,0.2,89,3.5,43,2200,55.1,68,8.9,Yes,No,74,4.85,2.0,0.098,High (2.5-3.5h),1.9,7.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Iraq,IRQ,E. Med,Lower-Middle,4.8,8.8,5.2,0.6,1.2,0.8,84,2.9,71,5300,42.2,68,8.9,No,No,73,5.74,6.0,0.101,High (2.5-3.5h),2.4,9.4,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Bangladesh,BGD,S-E Asia,Lower-Middle,3.7,4.8,7.5,0.2,0.8,0.1,90,2.6,38,2800,170.0,68,8.8,No,No,73,14.45,2.0,0.072,High (2.5-3.5h),1.85,5.8,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Nepal,NPL,S-E Asia,Low,3.9,5.0,10.5,0.2,1.0,0.2,90,2.2,34,1200,29.6,70,8.6,No,No,72,2.63,2.0,0.09,Moderate (1.5-2.5h),1.95,6.4,1,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Pakistan,PAK,E. Med,Lower-Middle,4.0,5.0,8.5,0.2,0.9,0.2,88,2.8,36,1800,231.4,66,8.7,Yes,Yes,72,20.83,2.0,0.079,High (2.5-3.5h),2.0,6.7,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Brazil,BRA,Americas,Upper-Middle,5.8,9.3,7.9,3.2,2.3,4.5,78,3.8,84,10800,215.3,55,8.9,Yes,Yes,71,32.51,32.0,0.179,Very High (>3.5h),2.9,17.9,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Venezuela,VEN,Americas,Upper-Middle,4.6,6.0,8.8,0.7,0.9,0.4,88,3.2,72,3500,29.0,64,8.5,No,No,71,3.07,7.0,0.079,High (2.5-3.5h),2.3,7.4,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Myanmar,MMR,S-E Asia,Lower-Middle,3.6,4.7,9.0,0.2,1.2,0.2,88,2.8,40,1200,54.0,62,8.4,No,No,70,4.48,2.0,0.106,High (2.5-3.5h),1.8,7.7,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Bolivia,BOL,Americas,Lower-Middle,4.0,5.3,11.2,0.5,1.0,0.8,87,2.4,60,3800,12.1,62,8.4,No,No,70,1.13,5.0,0.087,Moderate (1.5-2.5h),2.0,7.7,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
South Africa,ZAF,Africa,Upper-Middle,4.9,6.2,9.8,0.3,0.9,1.8,87,3.9,72,7100,59.9,61,8.8,Yes,Yes,70,6.65,3.0,0.078,Very High (>3.5h),2.45,7.2,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Cambodia,KHM,S-E Asia,Lower-Middle,3.5,4.7,7.2,0.3,0.9,0.3,86,1.8,40,2200,17.0,62,8.4,No,No,69,1.39,3.0,0.077,Moderate (1.5-2.5h),1.75,7.5,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Morocco,MAR,Africa,Lower-Middle,4.1,6.9,4.5,0.6,1.2,0.9,88,2.6,88,4200,37.5,64,8.5,Yes,No,69,4.12,6.0,0.106,High (2.5-3.5h),2.05,8.2,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Lebanon,LBN,E. Med,Lower-Middle,5.0,8.4,4.8,1.6,2.4,2.8,78,3.0,84,3900,5.5,62,8.7,Yes,Yes,68,0.74,16.0,0.187,High (2.5-3.5h),2.5,16.2,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Papua New Guinea,PNG,W. Pacific,Lower-Middle,3.0,4.0,6.1,0.09,1.2,0.2,88,1.8,22,2800,9.5,65,8.2,No,No,68,0.66,0.9,0.106,Moderate (1.5-2.5h),1.5,7.5,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
India,IND,S-E Asia,Lower-Middle,3.8,4.5,12.0,0.3,1.3,0.2,84,2.5,52,2800,1428.6,58,8.2,Yes,Yes,67,118.57,3.0,0.109,Moderate (1.5-2.5h),1.9,9.3,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Solomon Islands,SLB,W. Pacific,Lower-Middle,2.9,3.8,5.2,0.08,0.9,0.2,90,1.4,20,2500,0.7,66,8.0,No,No,67,0.05,0.8,0.081,Low (<1.5h),1.45,6.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Tunisia,TUN,Africa,Lower-Middle,4.3,7.1,3.8,0.8,1.5,1.2,82,2.4,80,4000,12.0,62,8.3,Yes,Yes,66,1.37,8.0,0.123,Moderate (1.5-2.5h),2.15,11.2,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Indonesia,IDN,S-E Asia,Lower-Middle,3.7,4.8,3.4,0.3,1.5,0.4,83,3.2,78,5100,277.5,62,8.3,Yes,Yes,66,23.59,3.0,0.124,High (2.5-3.5h),1.85,10.3,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Egypt,EGY,E. Med,Lower-Middle,4.2,7.2,4.0,0.9,1.8,1.4,79,2.8,73,4800,105.0,62,8.3,Yes,No,65,11.97,9.0,0.142,High (2.5-3.5h),2.1,13.2,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Iran,IRN,E. Med,Lower-Middle,4.7,9.1,6.5,1.5,2.1,3.2,75,3.4,79,6900,87.9,58,8.2,Yes,Yes,65,12.13,15.0,0.158,High (2.5-3.5h),2.35,16.1,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Philippines,PHL,S-E Asia,Lower-Middle,4.3,6.1,3.2,0.5,1.8,0.8,78,4.0,74,4000,115.6,54,8.1,Yes,Yes,64,12.02,5.0,0.14,Very High (>3.5h),2.15,13.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Ecuador,ECU,Americas,Upper-Middle,4.3,5.9,7.9,0.8,1.5,2.2,82,2.6,72,7300,18.0,57,8.0,Yes,No,64,1.84,8.0,0.123,High (2.5-3.5h),2.15,11.2,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Sri Lanka,LKA,S-E Asia,Lower-Middle,4.2,5.4,11.2,0.5,1.6,0.8,82,1.9,48,4200,22.2,58,8.0,Yes,Yes,64,2.13,5.0,0.131,Moderate (1.5-2.5h),2.1,11.1,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Peru,PER,Americas,Upper-Middle,4.4,6.2,8.1,1.2,1.2,2.8,79,2.8,74,8100,33.5,55,7.9,Yes,No,63,3.55,12.0,0.095,High (2.5-3.5h),2.2,11.7,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Jordan,JOR,E. Med,Lower-Middle,4.5,8.0,4.2,1.4,2.0,2.5,74,3.2,83,5200,10.2,58,8.1,Yes,Yes,63,1.27,14.0,0.148,High (2.5-3.5h),2.25,15.9,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Colombia,COL,Americas,Upper-Middle,4.9,7.0,7.6,1.9,1.8,5.0,68,3.7,73,7900,51.9,51,7.8,Yes,Yes,62,6.18,19.0,0.122,Very High (>3.5h),2.45,17.8,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Vietnam,VNM,S-E Asia,Lower-Middle,3.7,4.9,8.0,0.5,1.4,0.5,82,2.2,78,4400,97.3,52,7.8,Yes,Yes,62,8.37,5.0,0.115,Moderate (1.5-2.5h),1.85,10.5,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Russia,RUS,Europe,Upper-Middle,5.2,4.6,26.5,10.7,2.5,16.0,55,2.4,85,15000,143.8,48,7.8,Yes,Yes,61,14.09,107.0,0.138,Moderate (1.5-2.5h),2.6,34.8,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Uzbekistan,UZB,Europe,Lower-Middle,3.8,4.5,10.2,2.1,2.2,1.8,72,2.8,72,2400,35.3,58,7.8,Yes,Yes,61,2.93,21.0,0.158,High (2.5-3.5h),1.9,18.0,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Mexico,MEX,Americas,Upper-Middle,4.2,5.8,7.7,1.6,1.6,3.5,71,3.3,78,11600,128.5,52,7.6,Yes,Yes,60,12.85,16.0,0.114,High (2.5-3.5h),2.1,15.9,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Mongolia,MNG,W. Pacific,Lower-Middle,4.1,5.0,14.1,2.4,2.8,4.0,72,2.4,78,5500,3.4,56,7.8,Yes,Yes,60,0.31,24.0,0.202,Moderate (1.5-2.5h),2.05,20.3,2,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Thailand,THA,S-E Asia,Upper-Middle,4.1,5.6,14.4,1.1,3.1,5.0,72,2.8,85,8800,71.8,48,7.5,Yes,Yes,59,6.96,11.0,0.223,High (2.5-3.5h),2.05,19.6,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Fiji,FJI,W. Pacific,Upper-Middle,3.1,4.2,5.8,0.5,2.2,2.2,78,2.0,62,6300,0.9,60,7.4,Yes,Yes,59,0.07,5.0,0.172,Moderate (1.5-2.5h),1.55,14.2,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Georgia,GEO,Europe,Upper-Middle,4.4,5.6,8.8,4.8,3.6,12.0,64,2.9,79,7600,3.7,52,7.5,Yes,Yes,58,0.37,48.0,0.23,High (2.5-3.5h),2.2,28.2,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Azerbaijan,AZE,Europe,Upper-Middle,3.8,4.6,4.8,3.5,3.0,8.0,68,2.4,85,7900,10.1,52,7.5,Yes,Yes,58,0.85,35.0,0.204,Moderate (1.5-2.5h),1.9,23.5,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Argentina,ARG,Americas,Upper-Middle,5.4,7.4,9.8,13.6,4.5,15.0,52,2.9,88,13600,45.4,46,7.5,Yes,Yes,58,5.81,136.0,0.234,High (2.5-3.5h),2.7,45.5,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Armenia,ARM,Europe,Upper-Middle,4.5,5.8,5.4,4.2,3.4,10.0,64,2.6,82,7200,2.8,50,7.4,Yes,Yes,57,0.29,42.0,0.218,High (2.5-3.5h),2.25,26.8,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Kazakhstan,KAZ,Europe,Upper-Middle,4.2,4.8,22.5,5.4,2.8,8.0,64,2.6,84,11200,19.0,48,7.2,Yes,Yes,56,1.71,54.0,0.179,High (2.5-3.5h),2.1,26.4,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Malaysia,MYS,S-E Asia,Upper-Middle,3.9,5.8,6.0,1.8,3.5,6.0,65,3.1,89,13200,33.6,44,7.2,Yes,Yes,55,3.26,18.0,0.227,High (2.5-3.5h),1.95,23.9,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Chile,CHL,Americas,High,5.1,6.8,10.1,4.8,3.4,16.0,54,2.4,92,16400,19.5,42,7.2,Yes,Yes,55,2.32,48.0,0.184,Moderate (1.5-2.5h),2.55,30.6,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Turkey,TUR,Europe,Upper-Middle,3.8,5.2,4.8,2.0,2.9,8.0,68,2.1,81,13100,85.0,44,7.2,Yes,Yes,55,7.65,20.0,0.197,Moderate (1.5-2.5h),1.9,21.3,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Costa Rica,CRI,Americas,Upper-Middle,4.8,6.2,8.5,3.2,3.8,18.0,57,2.3,83,14900,5.2,44,7.1,Yes,Yes,54,0.57,32.0,0.217,Moderate (1.5-2.5h),2.4,29.0,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
China,CHN,W. Pacific,Upper-Middle,4.0,4.6,8.0,2.2,2.2,4.0,55,2.0,73,13100,1412.0,38,7.0,Yes,Yes,53,121.43,22.0,0.121,Moderate (1.5-2.5h),2.0,23.4,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Romania,ROU,Europe,Upper-Middle,4.8,5.1,12.0,4.1,2.9,12.0,58,1.6,83,17200,19.0,40,7.0,Yes,Yes,53,1.88,41.0,0.168,Moderate (1.5-2.5h),2.4,27.0,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Hungary,HUN,Europe,High,5.0,5.4,19.1,6.2,3.8,22.0,43,1.5,89,22100,9.7,41,6.9,Yes,Yes,52,1.01,62.0,0.163,Low (<1.5h),2.5,37.0,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Portugal,PRT,Europe,High,5.7,8.7,9.4,13.9,6.2,48.0,28,1.9,84,24200,10.3,32,7.2,Yes,Yes,52,1.48,139.0,0.174,Moderate (1.5-2.5h),2.85,58.5,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Saudi Arabia,SAU,E. Med,High,3.4,6.8,3.5,3.8,4.2,28.0,58,2.5,97,28400,36.4,42,6.8,Yes,Yes,52,3.71,38.0,0.244,Moderate (1.5-2.5h),1.7,30.6,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
United States,USA,Americas,High,5.9,7.7,14.2,16.0,7.0,280.0,19,2.3,93,76400,335.0,42,7.8,Yes,Yes,51,45.56,160.0,0.133,Moderate (1.5-2.5h),2.95,66.4,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Serbia,SRB,Europe,Upper-Middle,4.7,5.0,13.5,5.2,3.8,14.0,56,2.2,82,10900,6.8,42,6.8,No,Yes,51,0.66,52.0,0.213,Moderate (1.5-2.5h),2.35,31.8,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Poland,POL,Europe,High,4.9,5.3,16.2,5.6,3.4,20.0,45,1.6,88,21300,37.8,38,6.8,Yes,Yes,50,3.86,56.0,0.153,Moderate (1.5-2.5h),2.45,34.4,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Greece,GRC,Europe,High,5.7,6.8,4.9,14.1,5.8,42.0,31,1.7,82,21800,10.4,31,6.8,Yes,Yes,49,1.3,141.0,0.18,Moderate (1.5-2.5h),2.85,56.6,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Lithuania,LTU,Europe,High,5.1,5.5,21.6,14.6,5.6,38.0,26,1.5,89,26200,2.8,40,6.5,Yes,Yes,49,0.3,146.0,0.146,Low (<1.5h),2.55,58.2,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Estonia,EST,Europe,High,5.9,6.1,17.2,14.6,5.4,38.0,25,1.4,91,27100,1.4,34,6.1,Yes,Yes,48,0.17,146.0,0.135,Low (<1.5h),2.95,57.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Israel,ISR,E. Med,High,4.8,6.0,8.6,12.8,6.2,75.0,26,2.1,93,54800,9.4,39,6.5,Yes,Yes,47,1.02,128.0,0.161,Moderate (1.5-2.5h),2.4,57.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Cuba,CUB,Americas,Upper-Middle,3.9,4.5,12.5,8.1,3.2,12.0,42,1.8,71,9500,11.2,38,6.1,Yes,Yes,46,0.94,81.0,0.134,Moderate (1.5-2.5h),1.95,37.8,3,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Slovenia,SVN,Europe,High,4.9,5.2,18.0,11.4,5.2,62.0,27,1.4,90,30900,2.1,36,6.2,Yes,Yes,46,0.21,114.0,0.14,Low (<1.5h),2.45,52.7,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Czech Republic,CZE,Europe,High,4.7,5.0,14.0,9.8,3.2,28.0,38,1.4,91,28200,10.9,35,6.1,Yes,Yes,46,1.06,98.0,0.122,Low (<1.5h),2.35,41.1,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
South Korea,KOR,W. Pacific,High,3.6,4.0,25.2,12.6,9.2,78.0,22,1.0,98,33700,51.7,34,6.2,Yes,Yes,45,3.93,126.0,0.202,Low (<1.5h),1.8,68.1,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
New Zealand,NZL,W. Pacific,High,5.3,7.4,11.8,12.4,10.2,95.0,21,1.9,96,50100,5.1,34,6.4,Yes,Yes,45,0.65,124.0,0.214,Moderate (1.5-2.5h),2.65,71.2,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Hong Kong,HKG,W. Pacific,High,4.2,5.1,11.2,15.8,7.5,95.0,22,1.8,96,49800,7.5,35,6.2,Yes,Yes,44,0.7,158.0,0.165,Moderate (1.5-2.5h),2.1,66.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Australia,AUS,W. Pacific,High,5.9,7.2,12.1,13.8,9.2,100.0,22,1.7,93,60400,26.5,38,6.5,Yes,Yes,44,3.47,138.0,0.202,Moderate (1.5-2.5h),2.95,69.6,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
France,FRA,Europe,High,5.3,5.4,13.8,22.4,7.8,95.0,22,1.8,93,46400,68.0,31,6.3,Yes,Yes,44,7.28,224.0,0.172,Moderate (1.5-2.5h),2.65,75.8,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
UAE,ARE,E. Med,High,2.9,5.8,3.2,4.5,4.8,48.0,48,3.2,99,50400,9.9,35,5.9,Yes,Yes,44,0.86,45.0,0.23,High (2.5-3.5h),1.45,36.5,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
Belgium,BEL,Europe,High,5.4,5.6,15.8,32.5,8.5,130.0,21,1.9,93,52900,11.6,30,6.1,Yes,Yes,43,1.28,325.0,0.178,Moderate (1.5-2.5h),2.7,90.7,4,2025,WHO Mental Health Atlas 2024 | GBD Study 2023 (IHME) | Our World in Data (Mar 2026) | OECD 2024 | DataReportal 2025
